,REVENUE,HWT_SUBSCRIBER,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CUSTOMER_SERVICE_TICKETS_CNT,PRODUCT_CATEGORIES_VIEWED,SITE_VISIT_TIME_PER_VISIT_AVG,MOBILE_REGISTRATION,MEALS_CANCEL_BEFORE_NOON,MEALS_CANCEL_AFTER_NOON,SPECIFIED_TASTE_AND_PREFERENCES,PC_LOGINS_CNT,MOBILE_LOGINS_CNT,WEEKS_SUBSCRIBED_TO_WEEKLY_PLAN_CNT,ORDERS_DELIVERED_BEFORE_DELIVERY_CNT,ORDERS_DELIVERED_AFTER_DELIVERY_CNT,PACKAGE_ROOM_AT_CUSTOMER,FRIDGE_LOCKER_IN_PACKAGE_ROOM,PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE,SECONDS_WATCHING_PREP_VID_AVG,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED_CNT,MEAL_RATING_MEDIAN,SITE_CLICKS_PER_VISIT_AVG,PHOTOS_VIEWED_COUNT,missing_FAMILY_NAME,fe_MEAL_CHOICE_SPECIFICITY,fe_SITE_CLICK_RATE,fe_SUBSCRIPTIONS_SYNERGY,fe_CUSTOMER_COMPANY,fe_CUSTOMER_DOMAIN,fe_ONLY_HWT_CUSTOMER,fe_WP_INACTIVE_SUB,fe_WP_BASIC_SUB,fe_WP_PREMIUM_SUB
398,813.0,1,15,3,11,8,53.2,1,0,0,1,5,1,42,0,2,1,0,50.0,80.8,4,0,2,15,0,0,0.2,0.2819548872180451,0,mmm,professional_domain,0,0,1,0
399,880.0,1,14,6,12,2,138.78,1,1,0,0,6,1,16,0,1,0,0,50.0,109.2,4,0,2,16,381,0,0.42857142857142855,0.11529038766392853,0,goldmansacs,professional_domain,0,0,1,0
401,3136.0,1,42,1,5,6,49.0,1,0,0,1,5,2,35,0,0,0,0,70.0,129.4,4,0,3,11,88,0,0.023809523809523808,0.22448979591836732,0,caterpillar,professional_domain,0,0,1,0
402,1320.0,1,76,5,5,2,205.6,0,7,0,0,6,1,9,0,4,1,0,70.0,145.3,5,2,2,17,300,0,0.06578947368421052,0.08268482490272372,1,me,junk_domain,0,1,0,0
403,4110.0,1,104,7,10,3,127.73,1,1,0,0,5,2,13,2,3,0,0,70.0,165.2,4,2,3,13,300,0,0.0673076923076923,0.10177718625225084,1,walmart,professional_domain,0,1,0,0
404,3202.5,1,83,9,8,7,93.71,1,1,1,0,5,3,7,0,0,0,0,60.0,281.4,7,1,3,12,190,0,0.10843373493975904,0.12805463664496852,1,pg,professional_domain,0,1,0,0
405,1735.0,1,97,3,6,5,83.33,1,2,0,0,6,2,13,0,4,0,0,50.0,147.6,5,0,3,13,0,0,0.030927835051546393,0.15600624024961,1,gmail,personal_domain,0,1,0,0
406,1245.0,1,38,5,4,2,82.2,1,0,0,1,6,1,13,2,4,0,0,70.0,86.4,3,0,3,15,0,0,0.13157894736842105,0.18248175182481752,1,protonmail,personal_domain,0,0,1,0
407,3855.0,1,90,4,8,1,110.78,1,0,0,1,7,1,32,0,0,0,0,60.0,170.4,5,1,4,10,200,0,0.04444444444444445,0.09026900162484204,0,hotmail,junk_domain,0,0,1,0
408,4792.5,1,131,6,7,2,215.88,1,1,0,1,5,1,13,0,6,1,0,50.0,252.2,6,1,3,14,0,0,0.04580152671755725,0.0648508430609598,1,merck,professional_domain,0,1,0,0
410,3043.5,1,251,10,7,6,92.75,1,3,0,1,6,2,12,0,7,0,0,60.0,199.2,7,1,3,13,768,0,0.0398406374501992,0.14016172506738545,1,protonmail,personal_domain,0,1,0,0
413,2095.0,1,130,8,8,10,40.9,1,1,0,1,5,1,8,0,5,0,0,50.0,155.4,4,1,3,13,108,0,0.061538461538461535,0.31784841075794623,1,gmail,personal_domain,0,1,0,0
415,1700.0,1,56,9,7,2,136.6,1,2,0,1,5,2,11,0,4,1,0,60.0,204.8,7,0,3,13,0,0,0.16071428571428573,0.0951683748169839,1,protonmail,personal_domain,0,1,0,0
416,2070.0,1,173,9,6,6,75.98,1,0,0,1,5,1,8,0,1,1,0,50.0,135.8,4,1,3,14,146,0,0.05202312138728324,0.18425901553040272,1,yahoo,personal_domain,0,1,0,0
418,2760.0,1,69,8,8,10,90.54,1,1,0,0,5,2,4,7,4,0,0,60.0,172.1,5,0,3,12,210,0,0.11594202898550725,0.13253810470510272,1,amex,professional_domain,0,1,0,0
419,1730.0,1,65,9,5,5,149.38,1,1,0,1,5,2,48,0,0,0,0,70.0,163.6,5,1,3,13,0,0,0.13846153846153847,0.0870263756861695,0,ge,for_proft_domain,0,0,1,0
420,2715.0,1,122,6,7,9,95.42,1,0,0,1,6,2,3,2,2,0,0,70.0,179.5,5,1,3,14,281,0,0.049180327868852465,0.1467197652483756,1,protonmail,personal_domain,0,1,0,0
421,645.0,1,13,7,12,8,55.0,1,1,0,0,5,2,6,5,9,0,0,50.0,66.6,2,0,1,17,0,0,0.5384615384615384,0.3090909090909091,1,dupont,professional_domain,0,0,1,0
422,1870.0,1,39,2,6,7,91.91,1,0,0,1,6,2,46,0,1,0,0,70.0,171.0,5,0,3,13,120,0,0.05128205128205128,0.14144271570014144,0,gmail,personal_domain,0,0,1,0
424,3300.0,1,158,4,9,6,89.49,1,3,1,1,6,1,12,2,1,0,0,60.0,168.4,4,1,3,14,616,0,0.02531645569620253,0.1564420605654263,1,msn,junk_domain,0,1,0,0
425,1195.0,1,36,4,5,10,76.51,1,0,1,0,5,1,28,7,8,0,0,70.0,92.3,3,0,2,17,0,0,0.1111111111111111,0.22219317736243627,0,gmail,personal_domain,0,0,1,0
426,2000.0,1,67,3,8,1,105.82,1,2,0,1,6,1,4,0,3,1,0,60.0,209.0,5,2,3,12,240,0,0.04477611940298507,0.1134001134001134,1,protonmail,personal_domain,0,1,0,0
427,820.0,1,15,9,11,5,111.06,1,3,0,0,5,1,21,0,1,1,0,70.0,94.4,2,0,3,13,0,0,0.6,0.11705384476859355,0,live,junk_domain,0,0,1,0
428,1789.0,1,64,5,7,10,98.37,1,0,0,1,5,1,52,0,3,0,0,50.0,148.4,6,1,3,13,0,0,0.078125,0.1321541120260242,0,dupont,professional_domain,0,0,1,0
429,1100.0,1,45,2,4,3,87.5,1,0,0,0,5,2,3,4,3,1,0,70.0,98.0,3,0,3,13,0,0,0.04444444444444445,0.14857142857142858,1,gmail,personal_domain,0,1,0,0
430,1460.0,1,146,7,7,3,210.74,0,1,0,0,6,1,46,0,3,0,0,60.0,154.8,5,1,3,14,0,0,0.04794520547945205,0.0664325709404954,0,verizon,professional_domain,0,0,0,1
433,825.0,1,15,3,11,4,128.42,1,2,0,0,5,1,3,0,2,0,0,70.0,86.1,2,0,3,14,0,0,0.2,0.10901728702694287,1,mcdonalds,professional_domain,0,1,0,0
434,2029.0,1,56,3,9,3,150.91,1,0,0,0,5,2,3,0,1,0,0,60.0,190.8,7,0,3,14,0,0,0.05357142857142857,0.09277052547876218,1,yahoo,personal_domain,0,1,0,0
435,5018.0,1,110,3,8,3,170.23,1,0,0,1,6,1,37,0,4,0,0,60.0,223.4,7,1,4,12,748,0,0.027272727272727268,0.07049286259766199,0,mcdonalds,professional_domain,0,0,1,0
436,5055.0,1,210,10,8,6,125.44,1,3,0,1,5,2,8,0,4,1,0,50.0,193.2,5,1,4,11,426,0,0.047619047619047616,0.08769132653061225,1,live,junk_domain,0,1,0,0
439,1900.0,1,174,3,8,3,97.86,1,1,0,0,6,2,3,6,4,1,1,50.0,192.3,6,1,3,12,0,0,0.017241379310344827,0.12262415695892093,1,protonmail,personal_domain,0,1,0,0
440,940.0,1,15,7,12,1,228.73,1,3,0,0,5,1,30,0,0,1,0,50.0,102.0,4,0,1,16,0,0,0.4666666666666667,0.06995147116687797,0,merck,professional_domain,0,0,1,0
441,765.0,1,12,3,11,3,70.38,1,1,0,1,6,1,4,0,2,0,0,50.0,86.4,3,0,3,14,0,0,0.25,0.19892014776925265,1,cocacola,professional_domain,0,0,0,1
442,1285.0,1,110,5,8,2,187.61,1,1,0,0,5,1,14,0,5,1,1,50.0,83.6,3,0,2,15,0,0,0.045454545454545456,0.07995309418474496,1,jpmorgan,professional_domain,0,1,0,0
443,3000.0,1,209,6,6,2,123.88,1,1,0,0,5,2,9,0,0,0,0,50.0,267.3,7,1,3,15,229,0,0.02870813397129187,0.12108492089118505,1,walmart,professional_domain,0,1,0,0
444,1859.0,1,77,3,7,8,77.2,1,0,0,1,5,1,4,4,1,1,0,60.0,158.2,4,0,3,13,0,0,0.03896103896103896,0.16839378238341968,1,gmail,personal_domain,0,1,0,0
445,1780.0,1,44,9,6,6,37.35,1,1,0,1,5,1,20,0,2,0,0,70.0,124.5,3,0,3,14,0,0,0.20454545454545456,0.3748326639892905,0,jpmorgan,professional_domain,0,0,1,0
447,2120.0,1,75,3,6,4,100.67,1,0,0,1,5,1,13,5,2,0,0,50.0,166.1,4,1,3,11,0,0,0.04,0.10926790503625708,1,nike,professional_domain,0,1,0,0
448,1145.0,1,33,9,4,10,107.5,1,2,1,1,5,2,13,0,1,0,0,60.0,91.2,3,0,2,16,1,0,0.2727272727272727,0.14883720930232558,1,boeing,professional_domain,0,0,1,0
449,1230.0,1,90,4,4,8,76.94,1,0,0,1,5,1,5,0,0,1,1,50.0,87.2,3,0,5,8,0,0,0.04444444444444445,0.10397712503249286,1,passport,junk_domain,0,1,0,0
452,1840.0,1,94,5,7,3,108.88,1,0,0,1,5,1,11,3,1,0,0,50.0,170.7,5,1,3,15,144,0,0.05319148936170213,0.13776634827332845,1,gmail,personal_domain,0,1,0,0
454,1475.0,1,41,8,7,10,155.64,1,6,0,1,5,2,51,1,3,1,1,50.0,126.4,4,0,3,12,0,0,0.1951219512195122,0.07710100231303008,0,gmail,personal_domain,0,0,1,0
455,1407.0,1,62,3,8,3,104.6,1,0,0,1,6,2,8,7,4,0,0,70.0,147.0,4,0,3,14,0,0,0.04838709677419355,0.1338432122370937,1,pfizer,professional_domain,0,1,0,0
456,2633.75,1,42,1,4,4,34.0,1,0,0,0,6,1,5,0,10,0,0,70.0,104.0,3,0,3,13,0,0,0.023809523809523808,0.38235294117647056,1,walmart,professional_domain,0,1,0,0
457,1360.0,1,40,7,6,1,83.0,1,1,0,1,5,1,21,3,0,1,1,60.0,179.2,6,0,1,15,0,0,0.175,0.18072289156626506,0,amex,professional_domain,0,0,1,0
458,2685.0,1,87,3,5,8,110.07,1,1,1,1,5,2,12,0,5,0,0,50.0,176.1,5,0,3,13,0,0,0.03448275862068965,0.11810665939856455,1,apple,professional_domain,0,1,0,0
459,1900.0,1,49,9,7,2,99.2,0,4,0,1,5,1,52,3,2,0,0,50.0,128.5,4,1,3,14,0,0,0.1836734693877551,0.1411290322580645,0,ibm,professional_domain,0,0,1,0
460,995.0,1,16,4,11,8,79.92,1,3,0,1,5,2,1,0,0,1,0,50.0,91.2,3,0,2,15,0,0,0.25,0.18768768768768768,1,yahoo,personal_domain,0,1,0,0
462,876.75,1,13,1,11,2,86.12,1,2,0,1,6,1,13,0,2,0,0,50.0,95.2,3,0,2,15,0,0,0.07692307692307693,0.1741755689735253,1,microsoft,professional_domain,0,0,1,0
463,4875.0,1,104,6,9,6,147.18,1,2,0,1,6,1,32,5,1,1,1,60.0,195.0,5,1,4,11,480,0,0.0576923076923077,0.07473841554559044,0,ge,for_proft_domain,0,0,0,1
467,1415.0,1,57,9,5,6,103.0,1,2,0,1,6,2,12,0,0,0,0,50.0,133.7,5,1,2,17,0,0,0.15789473684210525,0.1650485436893204,1,yahoo,personal_domain,0,0,0,1
468,1500.0,1,152,6,4,3,68.06,1,1,0,0,5,1,4,7,5,0,0,50.0,155.8,5,1,3,11,0,0,0.03947368421052632,0.16162209814869233,1,nike,professional_domain,0,1,0,0
470,4410.0,1,126,1,5,5,30.0,1,2,0,0,6,1,10,1,5,0,0,70.0,196.1,5,1,3,12,0,0,0.007936507936507936,0.4,1,protonmail,personal_domain,0,1,0,0
473,2070.0,1,64,9,8,9,109.9,1,2,0,1,6,1,6,0,0,0,0,50.0,176.4,5,1,3,14,192,0,0.140625,0.12738853503184713,1,gmail,personal_domain,0,1,0,0
476,1345.0,1,86,3,5,7,90.6,1,3,1,1,5,2,12,0,12,0,0,50.0,126.9,5,0,2,15,216,0,0.034883720930232565,0.16556291390728478,1,microsoft,professional_domain,0,1,0,0
477,1185.0,1,27,9,5,6,82.8,1,0,0,1,6,1,14,0,2,0,0,70.0,121.6,4,0,2,15,0,0,0.3333333333333333,0.18115942028985507,1,cisco,professional_domain,0,0,1,0
479,1120.0,1,96,2,7,1,87.3,1,0,0,1,5,1,11,3,8,1,0,60.0,190.2,6,0,3,13,0,0,0.02083333333333333,0.14891179839633448,1,gmail,personal_domain,0,1,0,0
480,2130.0,1,214,4,8,2,78.04,1,1,0,1,5,1,39,4,3,1,0,70.0,135.8,4,1,3,13,240,0,0.018691588785046728,0.1665812403895438,0,yahoo,personal_domain,0,1,0,0
481,3127.25,1,69,1,6,10,30.0,1,2,0,1,4,1,49,2,0,0,0,60.0,155.3,4,0,3,12,0,0,0.014492753623188406,0.4,0,yahoo,personal_domain,0,0,1,0
483,1600.0,1,52,9,6,4,60.0,1,0,0,1,6,1,13,0,4,0,0,50.0,126.8,5,2,2,16,88,0,0.17307692307692307,0.26666666666666666,1,yahoo,personal_domain,0,0,0,1
486,4072.5,1,70,8,8,1,136.14,1,3,0,1,6,2,12,2,3,0,0,60.0,180.8,5,1,4,11,285,0,0.11428571428571427,0.08079917731746733,1,gmail,personal_domain,0,1,0,0
487,3685.5,1,101,4,8,8,44.43,1,7,0,1,5,1,9,0,11,1,0,60.0,164.8,3,1,3,14,186,0,0.0396039603960396,0.3151024082826919,1,protonmail,personal_domain,0,1,0,0
488,2000.0,1,125,3,7,7,20.45,1,0,0,0,6,2,9,4,1,0,0,70.0,160.7,5,0,3,12,456,0,0.024,0.5867970660146701,1,boeing,professional_domain,0,1,0,0
489,910.0,1,16,7,11,10,56.92,1,1,0,0,5,1,8,3,4,1,1,60.0,79.0,2,0,2,17,0,0,0.4375,0.2986647926914968,1,protonmail,personal_domain,0,0,1,0
490,1000.0,1,14,7,12,2,90.0,1,4,0,1,6,1,8,0,3,0,0,60.0,139.2,4,0,1,17,0,0,0.5,0.18888888888888888,1,pg,professional_domain,0,0,1,0
491,1525.0,1,101,2,8,4,110.19,1,1,0,1,5,2,2,0,0,0,0,50.0,152.7,4,1,3,12,0,0,0.0198019801980198,0.10890280424720936,1,homedepot,professional_domain,0,1,0,0
492,2640.0,1,94,7,7,10,82.58,1,0,0,1,5,2,37,0,1,0,0,70.0,176.8,6,0,3,14,252,0,0.07446808510638298,0.16953257447323808,0,protonmail,personal_domain,0,0,1,0
493,1715.0,1,46,5,4,1,68.03,1,0,0,1,5,1,52,0,5,0,0,70.0,173.0,4,0,3,13,0,0,0.10869565217391304,0.19109216522122596,0,apple,professional_domain,0,0,1,0
495,1685.0,1,51,6,6,1,101.0,1,1,0,1,6,2,8,0,2,0,0,60.0,206.1,6,1,3,12,252,0,0.1176470588235294,0.1188118811881188,1,homedepot,professional_domain,0,1,0,0
498,1930.0,1,104,5,7,2,110.28,1,2,0,1,6,1,2,0,5,0,0,50.0,181.2,6,0,3,14,0,0,0.04807692307692308,0.12694958287994196,1,gmail,personal_domain,0,1,0,0
499,1805.0,1,96,4,6,7,106.75,1,0,1,1,5,1,34,0,1,1,1,70.0,142.5,5,1,3,13,272,0,0.04166666666666666,0.12177985948477753,0,passport,junk_domain,0,0,1,0
500,1499.0,1,43,7,7,2,71.96,1,0,1,1,5,2,13,0,5,0,0,60.0,145.6,4,1,3,14,0,0,0.16279069767441862,0.1945525291828794,1,amex,professional_domain,0,0,0,1
501,2587.5,1,45,6,10,5,64.53,1,0,0,0,6,2,2,1,3,0,0,70.0,129.6,4,0,3,13,136,0,0.13333333333333333,0.20145668681233533,1,caterpillar,professional_domain,0,1,0,0
502,4042.5,1,73,9,10,4,133.86,1,2,0,1,5,1,5,0,8,0,0,70.0,169.8,6,1,4,10,340,0,0.1232876712328767,0.07470491558344539,1,yahoo,personal_domain,0,1,0,0
504,900.0,1,15,6,12,3,213.31,1,2,0,1,6,1,14,1,3,1,0,70.0,96.0,3,0,1,16,0,0,0.4,0.07500820402231495,1,mcdonalds,professional_domain,0,0,1,0
505,2975.0,1,75,1,5,6,32.0,1,0,0,1,6,2,2,0,1,1,0,50.0,167.0,5,0,3,13,0,0,0.013333333333333334,0.40625,1,intel,professional_domain,0,1,0,0
508,1840.0,1,53,6,9,2,92.09,1,2,0,1,7,2,10,6,8,0,0,70.0,154.0,4,0,3,15,0,0,0.11320754716981132,0.1628841350852427,1,amex,professional_domain,0,1,0,0
509,1600.0,1,42,6,7,10,105.84,1,1,0,1,6,1,41,0,2,0,0,60.0,147.2,5,1,3,13,76,0,0.14285714285714285,0.12282690854119425,0,jnj,professional_domain,0,0,1,0
510,2775.0,1,97,3,4,8,126.0,0,2,0,1,5,1,23,5,1,0,0,50.0,125.2,2,1,3,15,0,0,0.030927835051546393,0.11904761904761905,0,hotmail,junk_domain,0,0,0,1
511,2502.5,1,111,1,5,2,32.0,1,1,0,1,5,2,44,0,9,0,0,60.0,132.8,4,2,3,13,451,0,0.009009009009009007,0.40625,0,gmail,personal_domain,0,0,1,0
512,3300.0,1,157,3,6,10,109.25,1,0,0,0,5,1,2,0,0,0,0,60.0,244.3,7,1,4,8,353,0,0.01910828025477707,0.07322654462242563,1,boeing,professional_domain,0,1,0,0
515,1845.0,1,100,9,7,2,134.0,0,2,0,1,6,2,2,2,1,0,0,50.0,137.4,5,1,3,13,0,0,0.09,0.09701492537313433,1,disney,professional_domain,0,1,0,0
516,4725.0,1,86,4,9,6,103.25,1,1,0,0,6,1,3,0,2,0,0,60.0,278.6,8,1,3,14,568,0,0.04651162790697674,0.13559322033898305,1,yahoo,personal_domain,0,1,0,0
518,4110.0,1,81,7,9,5,116.98,0,1,0,1,5,1,39,0,3,0,0,50.0,250.4,9,1,4,10,245,0,0.08641975308641975,0.08548469823901521,0,jpmorgan,professional_domain,0,0,1,0
519,1070.0,1,13,7,11,2,81.19,1,1,0,1,6,1,8,7,0,0,0,70.0,111.7,4,1,3,14,0,0,0.5384615384615384,0.17243502894445129,1,ge,for_proft_domain,0,0,1,0
522,1617.0,1,107,8,7,1,100.0,1,2,0,1,6,1,7,0,4,0,0,50.0,139.2,4,0,2,15,153,0,0.07476635514018691,0.15,1,apple,professional_domain,0,1,0,0
523,2590.0,1,38,1,7,3,44.0,1,1,0,1,7,1,10,0,2,1,0,50.0,115.5,4,0,3,13,0,0,0.02631578947368421,0.2954545454545455,1,amex,professional_domain,0,0,0,1
524,1810.0,1,95,4,6,2,146.48999999999995,1,0,0,1,6,2,10,4,0,1,0,70.0,150.4,5,1,3,12,16,0,0.042105263157894736,0.08191685439279132,1,unitedhealth,professional_domain,0,1,0,0
525,1440.0,1,34,4,4,3,107.0,1,2,0,1,5,1,14,0,3,0,0,60.0,120.0,4,2,2,15,0,0,0.1176470588235294,0.14018691588785046,1,yahoo,personal_domain,0,0,1,0
526,1804.0,1,85,4,8,1,82.02,1,3,1,0,6,1,8,4,4,0,0,60.0,146.5,5,1,3,14,0,0,0.047058823529411764,0.1706900755913192,1,yahoo,personal_domain,0,1,0,0
529,2707.5,1,90,3,5,1,78.0,1,1,0,1,6,1,2,5,10,0,0,70.0,149.2,4,1,3,13,0,0,0.03333333333333333,0.16666666666666666,1,yahoo,personal_domain,0,1,0,0
532,1060.0,1,13,8,12,4,99.0,1,1,0,1,6,1,41,0,4,0,0,50.0,84.6,2,0,3,13,0,0,0.6153846153846154,0.13131313131313133,0,merck,professional_domain,0,0,1,0
533,1780.0,1,98,4,7,2,107.8,1,1,0,0,7,2,10,0,1,1,0,70.0,112.8,3,1,2,14,216,0,0.040816326530612235,0.12987012987012989,1,cisco,professional_domain,0,1,0,0
537,1635.0,1,151,6,7,8,96.0,0,0,0,1,6,1,10,1,3,0,0,50.0,120.0,4,1,3,13,202,0,0.039735099337748346,0.13541666666666666,1,dupont,professional_domain,0,1,0,0
538,1685.0,1,63,3,7,3,86.3,0,3,0,1,5,2,9,0,2,1,1,60.0,147.4,5,1,3,13,22,0,0.047619047619047616,0.15063731170336034,1,protonmail,personal_domain,0,1,0,0
539,3862.5,1,104,3,8,9,120.17,1,1,1,1,6,2,3,0,8,1,0,60.0,188.0,6,1,4,10,0,0,0.02884615384615385,0.08321544478655238,1,protonmail,personal_domain,0,1,0,0
540,2835.0,1,63,1,6,3,35.0,0,1,0,0,5,2,2,2,2,1,0,50.0,106.1,2,0,3,12,0,0,0.015873015873015872,0.3428571428571429,1,jnj,professional_domain,0,1,0,0
542,1075.0,1,13,7,12,1,208.17,1,4,0,1,6,2,9,2,0,1,0,70.0,82.7,3,1,2,16,0,0,0.5384615384615384,0.07686025844261901,1,yahoo,personal_domain,0,0,1,0
545,1400.0,1,39,3,8,7,70.56,1,2,1,0,6,2,13,0,3,1,0,70.0,179.6,6,1,3,13,415,0,0.07692307692307693,0.18424036281179135,1,protonmail,personal_domain,0,0,0,1
546,7450.0,1,179,8,10,9,156.23,0,1,0,1,6,1,14,0,4,1,0,70.0,447.6,8,2,4,10,0,0,0.0446927374301676,0.06400819304871024,1,yahoo,personal_domain,0,1,0,0
547,1305.0,1,110,4,5,8,71.0,1,0,0,0,5,2,38,0,1,0,0,50.0,81.6,3,1,2,17,0,0,0.03636363636363636,0.23943661971830985,0,yahoo,personal_domain,0,0,1,0
548,1290.0,1,60,3,6,2,81.91,1,0,0,1,6,1,5,7,1,0,0,60.0,91.2,4,0,2,16,0,0,0.05,0.19533634476864853,1,gmail,personal_domain,0,1,0,0
549,1130.0,1,28,5,7,8,44.0,1,1,1,1,6,1,13,0,3,0,0,50.0,101.3,4,0,2,14,0,0,0.17857142857142858,0.3181818181818182,1,yahoo,personal_domain,0,0,1,0
550,1719.0,1,125,6,7,6,39.17,1,0,0,1,5,2,1,0,2,0,0,60.0,125.0,3,0,3,12,0,0,0.048,0.30635690579525143,1,yahoo,personal_domain,0,1,0,0
551,1189.0,1,100,4,5,4,75.0,1,0,0,1,6,2,1,0,2,0,0,50.0,73.2,2,0,2,15,0,0,0.04,0.2,1,gmail,personal_domain,0,1,0,0
552,2610.0,1,223,8,8,8,119.04,1,6,0,1,5,2,1,2,5,1,0,50.0,203.1,6,1,3,13,202,0,0.035874439461883414,0.10920698924731184,1,gmail,personal_domain,0,1,0,0
553,2371.25,1,123,1,7,10,50.0,1,2,0,0,5,2,7,2,0,1,0,70.0,139.3,6,0,2,17,0,0,0.008130081300813009,0.34,1,intel,professional_domain,0,1,0,0
555,3900.0,1,99,4,8,5,170.97,1,3,0,0,5,1,9,8,2,1,1,50.0,236.5,5,2,3,13,0,0,0.040404040404040414,0.07603673159033747,1,merck,professional_domain,0,1,0,0
556,975.0,1,14,8,11,2,168.03,1,0,1,1,6,2,49,1,0,0,0,70.0,145.8,4,1,2,16,0,0,0.5714285714285714,0.095221091471761,0,msn,junk_domain,0,0,1,0
557,1950.0,1,198,4,4,8,127.46,1,0,0,0,6,1,12,0,0,0,0,50.0,203.0,6,1,3,13,298,0,0.020202020202020204,0.10199278204927036,1,protonmail,personal_domain,0,1,0,0
558,4524.0,1,103,4,6,1,172.33,1,0,0,1,6,2,13,3,2,0,0,50.0,247.5,5,1,4,11,114,0,0.03883495145631068,0.06383102187663202,1,yahoo,personal_domain,0,1,0,0
559,1755.0,1,71,6,7,10,98.0,1,3,0,1,6,1,2,0,4,1,0,50.0,124.2,4,1,3,15,320,1,0.08450704225352113,0.15306122448979592,1,gmail,personal_domain,0,1,0,0
560,1840.0,1,98,3,6,10,118.16,1,3,0,0,6,1,8,0,0,0,0,50.0,165.1,5,1,3,12,132,0,0.030612244897959183,0.1015572105619499,1,gmail,personal_domain,0,1,0,0
561,2698.5,1,164,8,8,2,81.4,1,4,0,1,6,2,13,0,12,0,0,70.0,140.2,5,0,3,12,0,0,0.04878048780487805,0.14742014742014742,1,disney,professional_domain,0,1,0,0
562,8347.5,1,82,1,8,5,41.0,1,2,0,1,5,1,51,0,6,0,0,70.0,203.6,6,2,3,14,0,0,0.012195121951219513,0.3414634146341464,0,yahoo,personal_domain,0,0,1,0
564,1740.0,1,53,2,7,2,78.25,1,0,0,1,5,1,12,0,3,1,1,50.0,148.1,4,1,3,14,0,0,0.03773584905660377,0.17891373801916932,1,travelers,professional_domain,0,0,0,1
565,1100.0,1,55,5,6,3,65.15,1,1,0,1,5,1,2,0,1,0,0,70.0,120.3,3,1,2,15,161,0,0.09090909090909093,0.2302379125095932,1,chevron,professional_domain,0,1,0,0
566,1280.0,1,46,5,4,1,94.25,1,3,0,1,5,2,9,0,6,0,0,60.0,117.2,3,0,2,15,0,0,0.10869565217391304,0.15915119363395225,1,protonmail,personal_domain,0,1,0,0
567,1165.0,1,37,5,4,8,26.79,1,1,0,1,6,1,9,4,9,1,0,60.0,103.2,3,1,3,14,0,0,0.13513513513513514,0.5225830533781262,1,gmail,personal_domain,0,0,0,1
568,1226.0,1,59,3,5,7,99.84,0,1,0,1,5,1,52,9,3,1,0,50.0,132.3,4,0,3,13,0,0,0.05084745762711865,0.13020833333333334,0,gmail,personal_domain,0,0,1,0
570,1575.0,1,113,3,8,8,129.14,1,3,1,0,5,2,1,1,2,1,0,70.0,109.6,4,1,3,13,39,0,0.02654867256637168,0.10066594393681276,1,jpmorgan,professional_domain,0,1,0,0
571,1400.0,1,65,9,7,6,38.43,1,0,1,1,6,1,7,1,3,1,1,60.0,106.9,2,0,3,14,0,0,0.13846153846153847,0.3642987249544625,1,msn,junk_domain,0,1,0,0
574,1760.0,1,55,2,6,4,123.85,1,0,0,1,6,1,7,0,3,1,0,50.0,132.9,3,2,3,14,128,0,0.03636363636363636,0.11303996770286638,1,verizon,professional_domain,0,1,0,0
575,3765.0,1,77,6,9,3,108.72,1,4,0,1,5,1,5,3,12,0,0,70.0,153.1,4,1,4,8,122,0,0.07792207792207792,0.07358351729212656,1,exxon,professional_domain,0,1,0,0
576,1485.0,1,45,7,4,2,177.32999999999996,0,0,1,0,6,1,13,7,2,1,0,70.0,145.6,5,1,3,13,0,0,0.15555555555555556,0.07330964867760673,1,protonmail,personal_domain,0,0,0,1
577,1036.0,1,15,7,11,4,62.29,1,0,0,1,5,1,3,2,6,0,0,70.0,136.9,4,0,2,14,0,0,0.4666666666666667,0.22475517739605072,1,jpmorgan,professional_domain,0,1,0,0
578,1445.0,1,32,8,6,2,86.62,1,4,0,1,5,1,22,0,1,0,0,50.0,152.6,5,1,2,14,145,0,0.25,0.16162549064881088,0,gmail,personal_domain,0,0,1,0
580,1399.0,1,46,7,6,2,58.0,1,0,0,1,5,1,46,0,4,0,0,60.0,141.6,4,0,2,14,0,0,0.15217391304347827,0.2413793103448276,0,live,junk_domain,0,0,1,0
581,804.0,1,14,6,11,2,45.0,1,5,0,0,6,2,5,0,0,1,1,50.0,184.4,7,2,2,14,771,0,0.42857142857142855,0.3111111111111111,1,caterpillar,professional_domain,0,0,1,0
582,4798.5,1,179,7,9,2,135.58,1,1,0,1,6,1,15,2,1,0,0,50.0,233.4,8,1,4,10,162,0,0.03910614525139665,0.0737571913261543,0,yahoo,personal_domain,0,1,0,0
583,1540.0,1,40,4,8,7,29.48,1,2,0,0,5,1,1,0,2,1,0,70.0,162.6,4,0,3,13,106,0,0.1,0.4409769335142469,1,nike,professional_domain,0,1,0,0
584,1445.0,1,39,2,8,8,40.38,1,3,0,1,6,2,13,0,5,1,0,60.0,84.8,2,1,3,11,169,0,0.05128205128205128,0.27241208519068844,1,live,junk_domain,0,0,0,1
